params,fold_scores,mean_test_f1_score,std_test_f1_score,mean_test_specificity,std_test_specificity,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_roc_auc,std_test_roc_auc,mean_test_pr_auc,std_test_pr_auc,mean_fit_time,std_fit_time,mean_score_time,std_score_time
"{'nu': 0.0005441909306682646, 'eta0': 0.0388152077794075, 'learning_rate': 'constant', 'kernel_type': 'rbf', 'gamma': 1.6571476459503174}","{'f1_score': [0.0, 0.0, 0.0], 'precision': [0.0, 0.0, 0.0], 'recall': [0.0, 0.0, 0.0], 'roc_auc': [0.6893256057345729, 0.583547557840617, 1.0], 'pr_auc': [0.10063351246810848, 0.17470221213840045, 1.0], 'specificity': [1.0, 1.0, 1.0], 'fit_time': [0.034827232360839844, 0.07359933853149414, 0.10655879974365234], 'score_time': [0.07352972030639648, 0.10896921157836914, 0.13916230201721191]}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7576243878583967,0.17674218865309008,0.42511190820216965,0.4076303731208171,0.07166179021199544,0.029316320936940417,0.10722041130065918,0.0268229090184144
"{'nu': 0.00028986166580580175, 'eta0': 0.03722238540649414, 'learning_rate': 'optimal', 'kernel_type': 'rbf', 'gamma': 0.34235361218452454}","{'f1_score': [0.0, 0.0, 0.0], 'precision': [0.0, 0.0, 0.0], 'recall': [0.0, 0.0, 0.0], 'roc_auc': [0.6551609803629671, 0.7078691802342189, 1.0], 'pr_auc': [0.12551341860373824, 0.23342175066312998, 1.0000000000000002], 'specificity': [1.0, 1.0, 1.0], 'fit_time': [0.044233083724975586, 0.06931257247924805, 0.09552121162414551], 'score_time': [0.07225728034973145, 0.09394049644470215, 0.21529150009155273]}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.787676720199062,0.15166942109400852,0.45297838975562277,0.38930325248039704,0.06968895594278972,0.020939981920306164,0.12716309229532877,0.06294178612325552
"{'nu': 0.0014523054705932736, 'eta0': 0.03846387565135956, 'learning_rate': 'constant', 'kernel_type': 'rbf', 'gamma': 1.0445706844329834}","{'f1_score': [0.0, 0.0, 0.0], 'precision': [0.0, 0.0, 0.0], 'recall': [0.0, 0.0, 0.0], 'roc_auc': [0.6199761303812372, 0.5854755784061696, 1.0], 'pr_auc': [0.09563420227973697, 0.17507460565581925, 1.0], 'specificity': [1.0, 1.0, 1.0], 'fit_time': [0.04245615005493164, 0.09253191947937012, 0.1953122615814209], 'score_time': [0.07929301261901855, 0.1495039463043213, 0.15044808387756348]}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7351505695958022,0.187805728721139,0.4235696026451854,0.40888604497920994,0.11010011037190755,0.0636277125482134,0.12641501426696777,0.033322516195722664
"{'nu': 0.0005587497144006193, 'eta0': 0.019257504492998123, 'learning_rate': 'constant', 'kernel_type': 'rbf', 'gamma': 0.5269843339920044}","{'f1_score': [0.0, 0.0, 0.0], 'precision': [0.0, 0.0, 0.0], 'recall': [0.0, 0.0, 0.0], 'roc_auc': [0.8439242431419252, 0.5856898029134533, 1.0], 'pr_auc': [0.3008027210378071, 0.17514927495024168, 1.0], 'specificity': [1.0, 1.0, 1.0], 'fit_time': [0.04962444305419922, 0.0923917293548584, 0.11235761642456055], 'score_time': [0.09504938125610352, 0.11798930168151855, 0.16864490509033203]}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8098713486851262,0.17084678236778456,0.4919839986626829,0.362865806545145,0.08479126294453938,0.026168531706609547,0.1272278626759847,0.03074723336112241
"{'nu': 0.00022479682229459286, 'eta0': 0.02616940811276436, 'learning_rate': 'constant', 'kernel_type': 'rbf', 'gamma': 2.808872938156128}","{'f1_score': [0.0, 0.0, 0.0], 'precision': [0.0, 0.0, 0.0], 'recall': [0.0, 0.0, 0.0], 'roc_auc': [0.5, 0.5729077406455299, 1.0], 'pr_auc': [0.05538013116346854, 0.17271835132482827, 1.0], 'specificity': [1.0, 1.0, 1.0], 'fit_time': [0.04162240028381348, 0.07084894180297852, 0.118408203125], 'score_time': [0.1633617877960205, 0.09499216079711914, 0.11135244369506836]}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6909692468818432,0.22053554428721964,0.4093661608294323,0.420379442454617,0.07695984840393066,0.031644085957258664,0.12323546409606934,0.029149112100601848
"{'nu': 0.0007759052095934749, 'eta0': 0.024532755836844444, 'learning_rate': 'constant', 'kernel_type': 'rbf', 'gamma': 1.2461978197097778}","{'f1_score': [0.0, 0.0, 0.0], 'precision': [0.0, 0.0, 0.0], 'recall': [0.0, 0.0, 0.0], 'roc_auc': [0.7456605563149323, 0.5854041702370751, 1.0], 'pr_auc': [0.12080134147141795, 0.17504973003694232, 1.0], 'specificity': [1.0, 1.0, 1.0], 'fit_time': [0.038552284240722656, 0.09628915786743164, 0.09838581085205078], 'score_time': [0.07999014854431152, 0.12850522994995117, 0.09891057014465332]}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7770215755173359,0.17070454135388857,0.4319503571694534,0.40228184104797526,0.07774241765340169,0.027724825290849166,0.10246864954630534,0.019965357125452842
"{'nu': 0.00221456540748477, 'eta0': 0.013981790281832218, 'learning_rate': 'constant', 'kernel_type': 'rbf', 'gamma': 0.41753247380256653}","{'f1_score': [0.0, 0.0, 0.0], 'precision': [0.0, 0.0, 0.0], 'recall': [0.0, 0.0, 0.0], 'roc_auc': [0.831774872221696, 0.7142959154527277, 1.0], 'pr_auc': [0.32024321284380103, 0.2354290082170839, 1.0], 'specificity': [1.0, 1.0, 1.0], 'fit_time': [0.02883601188659668, 0.07126045227050781, 0.2374722957611084], 'score_time': [0.07228469848632812, 0.0876314640045166, 0.3083348274230957]}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8486902625581413,0.11724988643754117,0.518557407020295,0.34218765814280144,0.11252291997273763,0.09003413488930972,0.15608366330464682,0.10783998496085055
"{'nu': 0.00022381797316484153, 'eta0': 0.021316079422831535, 'learning_rate': 'optimal', 'kernel_type': 'rbf', 'gamma': 1.558164119720459}","{'f1_score': [0.0, 0.0, 0.0], 'precision': [0.0, 0.0, 0.0], 'recall': [0.0, 0.0, 0.0], 'roc_auc': [0.5, 0.5270636960868323, 0.48823861497929993], 'pr_auc': [0.05538013116346854, 0.1653691275167785, 0.6412608914550797], 'specificity': [1.0, 1.0, 1.0], 'fit_time': [0.03537631034851074, 0.10304093360900879, 0.1604924201965332], 'score_time': [0.08407330513000488, 0.18944025039672852, 0.1343095302581787]}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5051007703553774,0.01625546317222491,0.2873367167117756,0.25425857695201914,0.09963655471801758,0.05113513197141261,0.1359410285949707,0.04303134228929266
"{'nu': 0.0005322074866853654, 'eta0': 0.03997427970170975, 'learning_rate': 'constant', 'kernel_type': 'rbf', 'gamma': 0.12398885190486908}","{'f1_score': [0.0, 0.0, 0.0], 'precision': [0.0, 0.0, 0.0], 'recall': [0.0, 0.0, 0.0], 'roc_auc': [0.8802067121390517, 0.7142959154527277, 1.0], 'pr_auc': [0.393094840749775, 0.2354290082170839, 1.0], 'specificity': [1.0, 1.0, 1.0], 'fit_time': [0.0373685359954834, 0.09865808486938477, 0.13039541244506836], 'score_time': [0.08172941207885742, 0.4173758029937744, 0.07745838165283203]}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8648342091972597,0.11714361945000185,0.542841282988953,0.329606025522842,0.08880734443664551,0.038611550523960134,0.19218786557515463,0.15924146401898426
"{'nu': 0.0010715969838202, 'eta0': 0.025413988158106804, 'learning_rate': 'constant', 'kernel_type': 'rbf', 'gamma': 1.7481786012649536}","{'f1_score': [0.0, 0.0, 0.0], 'precision': [0.0, 0.0, 0.0], 'recall': [0.0, 0.0, 0.0], 'roc_auc': [0.7008160669093668, 0.5849757212225078, 1.0], 'pr_auc': [0.09666225122210924, 0.1749502982107356, 1.0], 'specificity': [1.0, 1.0, 1.0], 'fit_time': [0.036264657974243164, 0.08786535263061523, 0.1324770450592041], 'score_time': [0.04763650894165039, 0.14453411102294922, 0.09298443794250488]}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7619305960439582,0.17485713644229967,0.42387084981094825,0.4086366379792627,0.08553568522135417,0.03931307136161304,0.09505168596903484,0.039585278897411896
