trial,roc_auc_mean,roc_auc_std,value,kernel,nu,gamma
19,0.8037568712839449,0.17810280485312055,62.56540664308243,poly,0.0038721604003835726,0.02756080211403207
20,0.812851368638012,0.11757730980006609,69.52740588379459,rbf,0.0031164324012276706,0.0023773470536444033
21,0.8577589414229556,0.11664140455538997,74.11175368675657,rbf,0.0037930280329205412,0.05351050486344191
22,0.8579727036467619,0.11674045836777973,74.12322452789823,rbf,0.004356366958619866,0.048294397480116644
23,0.8465220685622032,0.1311887866034517,71.53332819587516,rbf,0.004416695068604982,0.044677086794824815
24,0.847213965155574,0.13147925059221474,71.57347145633592,rbf,0.0041673726290470175,0.030826140531592567
25,0.8574995503378888,0.1166392639261244,74.08602864117644,rbf,0.0049844874728787745,0.05826683830936989
26,0.8496084177158004,0.12737032940600468,72.22380883097958,rbf,0.003329347842511458,0.046298228686955184
27,0.8024293287660904,0.1777915087200733,62.46378200460171,poly,0.002560946108210477,0.04968901009456782
28,0.3118797231272324,0.15992290176229426,15.195682136493813,sigmoid,0.004391115733166486,0.06207509761052609
29,0.3782675611923949,0.22118202826555697,15.708553292683794,linear,0.003388828890365723,0.07360331764055904
30,0.8466825428348382,0.13131228319124993,71.53702596435882,rbf,0.00468003453527972,0.035065200743030864
31,0.8578448412243147,0.11664236772167556,74.12024735026391,rbf,0.003765343742821176,0.05220350772256741
32,0.8577825291118092,0.11702720899910125,74.0755320112708,rbf,0.004068616413206429,0.04807484882419546
33,0.857604904470628,0.1166399942350536,74.09649102355745,rbf,0.0036165801282327585,0.05561706058508613
34,0.85735293798546,0.11663856432720864,74.07143736582513,rbf,0.002809333797963887,0.06055437898747874
35,0.440364424218674,0.24202205910065616,19.834236511801784,sigmoid,0.004158161637804619,0.02313100921984735
36,0.2788853517306521,0.23848392146657493,4.0401430264077165,linear,0.004574578183161693,0.051165522827787246
37,0.8572312309364882,0.11663826354740625,74.0592967389082,rbf,0.0039753373512718205,0.0646838787139353
38,0.8013011328843752,0.17999394987511871,62.13071830092565,poly,0.003269966799343544,0.07125616418952775
39,0.3141013407613518,0.16273588498805885,15.136545577329297,sigmoid,0.0042147371770801575,0.07851135923970523
40,0.8465446243087308,0.1311911173436873,71.53535069650435,rbf,0.0036078541903041836,0.04424987008666978
41,0.8578204058322432,0.11664208086025107,74.1178324971992,rbf,0.0037865102882870083,0.0528907997472019
42,0.8466250731380125,0.13119949314029553,71.54255799977169,rbf,0.003940784781153012,0.03953138573970327
43,0.8577378893928632,0.11664118780791555,74.10967015849477,rbf,0.004790171257914492,0.05330381909531177
44,0.3476258293482575,0.06628008279236634,28.134574655589113,linear,0.004291313348455192,0.06551330742576703
45,0.8465743227083254,0.13119419791727205,71.53801247910533,rbf,0.0027763115741269748,0.04215715062183411
46,0.8579705895112056,0.1166440058494478,74.13265836617579,rbf,0.0013678213844616296,0.04930011124013761
47,0.846793441921932,0.13132427295842536,71.54691689635067,rbf,0.0013978192401910552,0.03609134589759995
48,0.8076164178416283,0.16354267468425615,64.40737431573721,poly,0.0009615186454728594,0.0490626669532092
49,0.8575373312133224,0.11663950393380383,74.08978272795186,rbf,0.0005365956532407479,0.060604930931203914
50,0.39118371427045084,0.23500851349300222,15.617520077744862,sigmoid,0.0021307100250822063,0.03108260141166018
51,0.857669000383677,0.11664053165774163,74.10284687259355,rbf,0.0016535484496822926,0.05449337688291416
52,0.8578793327200464,0.11664279006120316,74.12365426588433,rbf,0.003845233510040403,0.0509201212293873
53,0.8464569853695628,0.131288471889371,71.51685134801919,rbf,0.0037181116153099077,0.038569555175504845
54,0.8465326885595267,0.13118988303258944,71.53428055269373,rbf,0.0032057882894804533,0.044010687177618524
55,0.8576130809287442,0.11664005887209562,74.09730220566486,rbf,0.0023633345208856054,0.05659451830727159
56,0.8501846267827481,0.126585655093424,72.3598971689324,rbf,0.0034497477312935895,0.046424391092079305
57,0.8578267026448154,0.11664215380310755,74.11845488417079,rbf,0.0011723071449992561,0.050455046512167576
58,0.477225501591797,0.3154170373174952,16.18084642743018,linear,0.0014322057605614114,0.0495009711851806
59,0.8570407288606078,0.11663830267351481,74.0402426187093,rbf,0.0011568224990740575,0.0638275771011379
60,0.8575796232380616,0.11663980163189205,74.09398216061696,rbf,0.0005337862186569915,0.059275631369305734
61,0.8579992541057512,0.11664441720695537,74.13548368987958,rbf,0.0011940391016259586,0.05198016003180317
62,0.8464649273376669,0.13118291659094392,71.5282010746723,rbf,0.0019297479082260884,0.04086176499307877
63,0.8539003324467292,0.12192562919970051,73.19747032470288,rbf,0.0010958503153961812,0.04729119243063342
64,0.8568625384630403,0.11663890252746252,74.02236359355777,rbf,0.0012378384540547365,0.06892898280142018
65,0.8575220121021392,0.11663940366724798,74.08826084348912,rbf,0.000587290417947595,0.056555298866911234
66,0.8053917267691987,0.17063512342827944,63.47566033409192,poly,0.0017369961901589682,0.05099732647463471
67,0.846522444491312,0.13118882538590407,71.53336191054079,rbf,0.0003871074841856906,0.04315284510109529
68,0.8470037742583013,0.1313475242688796,71.56562499894217,rbf,0.0008191825666816899,0.03232222107078471
69,0.8465520014518101,0.1312984084584619,71.52535929933481,rbf,0.0008123793130391876,0.03772231316115042
70,0.3222272242686333,0.17487322121548082,14.735400305315249,sigmoid,0.004560305424597283,0.05874157579809673
71,0.857812699285513,0.11664199251204546,74.11707067734675,rbf,0.0038468402891267024,0.05252328819276792
72,0.8475156547849109,0.13001556576477408,71.75000890201369,rbf,0.0015483396604834693,0.04664136448782371
73,0.8576826278138707,0.11664065499946448,74.10419728144062,rbf,0.0035769593188976524,0.05440735636764906
74,0.8579847808350626,0.11664420774444675,74.13405730906159,rbf,0.00012188976337213636,0.04987190446268068
75,0.8579191812055784,0.11664330339033155,74.12758778152468,rbf,0.0040328886964939945,0.05011162598336021
76,0.857340720289424,0.11663852266430068,74.07021976251234,rbf,0.0040473458141472496,0.06254084854053153
77,0.31535995571563563,0.33423085796645163,-1.8870902250816002,linear,0.0002451357691817995,0.04417813105364587
78,0.8580103440144605,0.11664458013435061,74.136576388011,rbf,0.00234100907202843,0.04852279919074935
79,0.8549028479171324,0.12057204968952978,73.43307982276026,rbf,0.004421751954980631,0.047611169668122004
80,0.8408615040817896,0.19859811300688257,64.2263391074907,poly,0.00016794666782843576,0.056180057946352904
81,0.8578602543177752,0.11664255393023346,74.12177003875418,rbf,0.0022479254769762736,0.051197552932524176
82,0.8465365418328918,0.1311902812748492,71.53462605580427,rbf,0.002708642307622588,0.04108178841349868
83,0.8465215986508173,0.13118873812839987,71.53328605224173,rbf,0.0030007120357045548,0.045437536716563906
