params,fold_scores,mean_test_f1_score,std_test_f1_score,mean_test_specificity,std_test_specificity,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_roc_auc,std_test_roc_auc,mean_test_pr_auc,std_test_pr_auc,mean_fit_time,std_fit_time,mean_score_time,std_score_time,roc_auc_adjusted
"{'n_estimators': 11.068415641784668, 'contamination': 0.0009078544098883867, 'max_samples': 0.5579769611358643, 'max_features': 0.3000591993331909}","{'f1_score': [0.025651144435674823, 0.3038510368176047, 0.9577303884234577], 'precision': [0.01409366869037294, 0.20549513451631368, 0.9691714836223507], 'recall': [0.1425438596491228, 0.5827922077922078, 0.946556266465939], 'roc_auc': [0.18759938625813702, 0.6210122710765384, 0.9532175282659915], 'pr_auc': [0.03205815248666863, 0.1887580204867133, 0.9827054985797331], 'specificity': [0.4154024170737979, 0.6035418451870894, 0.9452054794520548], 'fit_time': [0.05332636833190918, 0.08386850357055664, 0.08096933364868164], 'score_time': [0.01842784881591797, 0.013988971710205078, 0.01387929916381836]}",0.42907752322557907,0.3906867320857587,0.6547165805709807,0.21929730410647744,0.3962534289430124,0.4125812673993231,0.5572974446357565,0.3287313744180244,0.5872763952002223,0.3134712818677829,0.40117389051770497,0.41615139115407995,0.07272140185038249,0.013765337880488162,0.015432039896647135,0.0021188299172648327,0.27380511333243945
"{'n_estimators': 8.723532676696777, 'contamination': 0.0006546322256326675, 'max_samples': 0.7849839925765991, 'max_features': 1.0}","{'f1_score': [0.10695187165775401, 0.08051235132662397, 0.8700693653587328], 'precision': [0.10438413361169102, 0.09224318658280922, 0.9670886075949368], 'recall': [0.10964912280701754, 0.07142857142857142, 0.7907414377117049], 'roc_auc': [0.5984466703206976, 0.5018850713339789, 0.9112233258232325], 'pr_auc': [0.08203210221652033, 0.13919664296234588, 0.9604606388028808], 'specificity': [0.9448444330161996, 0.8763210511282491, 0.951027397260274], 'fit_time': [0.03580141067504883, 0.0790395736694336, 0.08037686347961426], 'score_time': [0.017951250076293945, 0.01795816421508789, 0.015142679214477539]}",0.35251119611437026,0.3661280340468501,0.9240642938015742,0.03385380507844364,0.3879053092631457,0.4095744299054478,0.32393971064909793,0.33044726450513756,0.6705183558259696,0.17470965921733383,0.39389646132724904,0.40130052876337763,0.06507261594136556,0.020705066679700075,0.017017364501953125,0.001325605684617886,0.4958086966086358
"{'n_estimators': 5.0, 'contamination': 0.0006594214355573058, 'max_samples': 0.40819770097732544, 'max_features': 0.876050591468811}","{'f1_score': [0.0, 0.0, 0.7470872072496175], 'precision': [0.0, 0.0, 0.9971724787935909], 'recall': [0.0, 0.0, 0.5972901768912308], 'roc_auc': [0.3138017485214708, 0.5893236208949576, 0.8112791682348515], 'pr_auc': [0.037703253452912366, 0.16916564170310433, 0.9173026600884294], 'specificity': [0.9723579326304963, 1.0, 0.9969178082191781], 'fit_time': [0.0249330997467041, 0.03989100456237793, 0.05394387245178223], 'score_time': [0.0139617919921875, 0.013962268829345703, 0.015957355499267578]}",0.24902906908320585,0.3521802869226161,0.9897585802832248,0.012368289577093128,0.3323908262645303,0.47007161451169793,0.19909672563041025,0.2815652896106012,0.5714681792170934,0.20348637690568622,0.37472385174814865,0.3873967925577773,0.03958932558695475,0.011845519290420485,0.01462713877360026,0.0009406052873113953,0.36798180231140715
"{'n_estimators': 5.0, 'contamination': 0.000901370367500931, 'max_samples': 0.4366118311882019, 'max_features': 0.30000290274620056}","{'f1_score': [0.0, 0.0, 0.7484720263281617], 'precision': [0.0, 0.0, 0.9968691296180339], 'recall': [0.0, 0.0, 0.5991719984945427], 'roc_auc': [0.3325681296323864, 0.673509621091562, 0.8663374338140142], 'pr_auc': [0.03961556962294058, 0.21584058471057785, 0.9393690080527627], 'specificity': [0.978014913859604, 0.9998571836618109, 0.9965753424657534], 'fit_time': [0.031033992767333984, 0.05792236328125, 0.0797569751739502], 'score_time': [0.01196742057800293, 0.016955137252807617, 0.013961553573608398]}",0.24949067544272055,0.3528330968967195,0.9914824799957228,0.009616795156810609,0.332289709872678,0.46992861433896205,0.1997239994981809,0.2824523888217247,0.6241383948459875,0.22068915697178923,0.39827505412876035,0.38931633600068055,0.05623777707417806,0.019926709490290514,0.014294703801472982,0.002049808318319195,0.4034492378741983
"{'n_estimators': 255.72523498535156, 'contamination': 0.0006614133017137647, 'max_samples': 0.4062937796115875, 'max_features': 0.30042606592178345}","{'f1_score': [0.13834115805946792, 0.30050042719394604, 0.8868644803053964], 'precision': [0.07448601280754971, 0.17684240770004309, 0.822762395363812], 'recall': [0.9692982456140351, 0.9991883116883117, 0.9617990214527663], 'roc_auc': [0.713847931412486, 0.6408167935320892, 0.9738243770654926], 'pr_auc': [0.12332957753660094, 0.1847908179877128, 0.9891192395458237], 'specificity': [0.2939058884031885, 0.181662382176521, 0.6229452054794521], 'fit_time': [1.1836535930633545, 1.992462396621704, 2.036869764328003], 'score_time': [0.3759136199951172, 0.22122669219970703, 0.31829023361206055]}",0.4419020218529368,0.3215251148465178,0.36617115868638717,0.18725977411496095,0.35803027195713494,0.3312613950627774,0.9767618595850377,0.01615072560208098,0.776163034003356,0.14291230803275168,0.4324132116900458,0.3944494662249026,1.7376619180043538,0.3921623147410602,0.3051435152689616,0.06383122830344716,0.6332507259706043
"{'n_estimators': 247.23974609375, 'contamination': 0.0005867898580618203, 'max_samples': 0.8666551113128662, 'max_features': 0.7522149682044983}","{'f1_score': [0.11088145896656534, 0.29816069699903197, 0.8670396577258516], 'precision': [0.05869481271720942, 0.1751990898748578, 0.7703216374269006], 'recall': [1.0, 1.0, 0.991531802785096], 'roc_auc': [0.6399259833177698, 0.6332628293585877, 0.9822426286727743], 'pr_auc': [0.08254717295372144, 0.17762744790928825, 0.9920401713994746], 'specificity': [0.05978400617125225, 0.17166523850328477, 0.461986301369863], 'fit_time': [0.9882309436798096, 1.875523567199707, 2.321660280227661], 'score_time': [0.24384593963623047, 0.24207448959350586, 0.24921011924743652]}",0.4253606045638163,0.3215365896763947,0.23114518201480003,0.16949939886984336,0.33473851333965593,0.31165451506565145,0.997177267595032,0.003991946450055767,0.7518104804497107,0.16296283953955668,0.41740493075416146,0.40817831847941927,1.7284715970357258,0.5542121497155171,0.24504351615905762,0.003033693544788128,0.588847640910154
"{'n_estimators': 5.316420078277588, 'contamination': 0.0008699329919181764, 'max_samples': 0.3703133463859558, 'max_features': 0.9972032308578491}","{'f1_score': [0.0, 0.0, 0.7474961706138801], 'precision': [0.0, 0.0, 0.9996848408446265], 'recall': [0.0, 0.0, 0.5969138125705683], 'roc_auc': [0.2804776066548475, 0.5635338535001132, 0.8848033560870484], 'pr_auc': [0.03628146282048351, 0.15992516649238622, 0.9473150913923273], 'specificity': [0.9763435330419131, 0.9987146529562982, 0.9996575342465753], 'fit_time': [0.03291153907775879, 0.0539398193359375, 0.042885541915893555], 'score_time': [0.014498472213745117, 0.01795172691345215, 0.009974002838134766]}",0.2491653902046267,0.35237307410136737,0.9915719067482622,0.010774964209903664,0.33322828028154217,0.4712559533404199,0.1989712708568561,0.2813878697683765,0.576271605414003,0.24687931005461308,0.38117390690173236,0.4034921080985655,0.04324563344319662,0.008588534686241253,0.014141400655110678,0.003266664499553417,0.32939229535938996
"{'n_estimators': 208.7350311279297, 'contamination': 0.0009449920034967363, 'max_samples': 0.9803494215011597, 'max_features': 0.3000144958496094}","{'f1_score': [0.10998552821997105, 0.2981246218995765, 0.8800398208063713], 'precision': [0.05819295558958652, 0.17517417887103653, 0.7869436201780415], 'recall': [1.0, 1.0, 0.998118178396688], 'roc_auc': [0.6708614716271264, 0.652690256401696, 0.9875804929857033], 'pr_auc': [0.11032704503961434, 0.18865353440162194, 0.9941433419717433], 'specificity': [0.051169966572383645, 0.1715224221650957, 0.5082191780821917], 'fit_time': [0.674504280090332, 1.862617015838623, 1.9583799839019775], 'score_time': [0.18237805366516113, 0.22170233726501465, 0.28133702278137207]}",0.429383323641973,0.3277880803913914,0.24363718893989036,0.1934319865407849,0.3401035848795549,0.3195524625777649,0.9993727261322293,0.0008870992111234862,0.7703774070048418,0.15376482841317413,0.4310413071376598,0.3994552006250998,1.4985004266103108,0.5839633970395214,0.22847247123718262,0.040682473110965324,0.6166125785916676
"{'n_estimators': 5.0, 'contamination': 0.0008737891330383718, 'max_samples': 0.8853299617767334, 'max_features': 0.38436800241470337}","{'f1_score': [0.0, 0.0, 0.7740974212034384], 'precision': [0.0, 0.0, 0.9900322486074465], 'recall': [0.0, 0.0, 0.6354911554384645], 'roc_auc': [0.20535639771194508, 0.6001532609421427, 0.8402509718448555], 'pr_auc': [0.03295583898582225, 0.1739344171216639, 0.9294862129674226], 'specificity': [0.978272049370018, 0.9997143673236218, 0.9883561643835617], 'fit_time': [0.020943880081176758, 0.05262446403503418, 0.07126951217651367], 'score_time': [0.009974241256713867, 0.01695537567138672, 0.0109710693359375]}",0.25803247373447946,0.3649130238879803,0.9887808603590672,0.008758939235986985,0.3300107495358155,0.4667056777224609,0.21183038514615482,0.2995734035964084,0.5485868768329811,0.2617468230223277,0.37879215635830293,0.3936298581677607,0.0482792854309082,0.020773825586943406,0.012633562088012695,0.003082960810861244,0.2868400538106534
"{'n_estimators': 256.0, 'contamination': 0.00041371057159267366, 'max_samples': 0.6083933115005493, 'max_features': 0.9999909996986389}","{'f1_score': [0.1281289775137887, 0.2983519146873485, 0.8841164848380724], 'precision': [0.06848072562358276, 0.17535612535612535, 0.8133396554449186], 'recall': [0.993421052631579, 0.9991883116883117, 0.9683853970643583], 'roc_auc': [0.7986913719758383, 0.6269105162903363, 0.9777679533514471], 'pr_auc': [0.21334880898339567, 0.17704658352061847, 0.990427908119675], 'specificity': [0.20776549241450246, 0.17323621822336474, 0.5955479452054795], 'fit_time': [0.7107744216918945, 1.281553030014038, 2.9692907333374023], 'score_time': [0.22138333320617676, 0.17749333381652832, 0.3557775020599365]}",0.4368657923464032,0.3237991646434629,0.32551655194778223,0.19146067081354953,0.35239216880820895,0.32884649594658644,0.9869982537947496,0.013370219295295093,0.8011232805392073,0.1432472708750345,0.46027443354122966,0.3751679560313276,1.6538727283477783,0.9588849256011563,0.25155138969421387,0.07584587391880114,0.6578760096641728
"{'n_estimators': 256.0, 'contamination': 0.00046349826152436435, 'max_samples': 0.6607475280761719, 'max_features': 0.9839293956756592}","{'f1_score': [0.12296076580827828, 0.298341203535537, 0.8730697437637875], 'precision': [0.06550782933486568, 0.17532375124519708, 0.7949629171817059], 'recall': [1.0, 1.0, 0.9681972149040271], 'roc_auc': [0.7536044082951014, 0.6217313374286382, 0.9752448301462665], 'pr_auc': [0.15071799060354074, 0.17255632417776473, 0.9895545022980818], 'specificity': [0.16366675237850348, 0.17237932019423022, 0.5455479452054794], 'fit_time': [1.049858808517456, 1.9159116744995117, 2.211320400238037], 'score_time': [0.250537633895874, 0.2655613422393799, 0.2873971462249756]}",0.43145723770253425,0.32037038837011406,0.2938646725927377,0.17800248967225274,0.3452648325872562,0.32112942317409615,0.9893990716346757,0.014991976667987269,0.7835268586233354,0.14586400551789871,0.4376096056931291,0.3903857962490556,1.7256969610850017,0.49287218435077035,0.26783204078674316,0.015133251825137601,0.6376628531054367
"{'n_estimators': 5.000561237335205, 'contamination': 0.0003103894123341888, 'max_samples': 0.7057758569717407, 'max_features': 1.0}","{'f1_score': [0.0, 0.0016142050040355124, 0.7312186978297162], 'precision': [0.0, 0.14285714285714285, 0.998046875], 'recall': [0.0, 0.0008116883116883117, 0.5769665035754611], 'roc_auc': [0.31989222300415476, 0.6415523208582333, 0.8325185539876574], 'pr_auc': [0.03815845575105653, 0.1933892847416995, 0.9284455986886824], 'specificity': [0.9831576240678838, 0.9991431019708654, 0.9979452054794521], 'fit_time': [0.04787182807922363, 0.09185218811035156, 0.07213306427001953], 'score_time': [0.018949031829833984, 0.020104646682739258, 0.017950773239135742]}",0.24427763427791724,0.34431995870523935,0.9934153105060671,0.0072697472353630355,0.38030133928571425,0.44068825034448406,0.1925927306290498,0.27179350336394886,0.5979876992833485,0.2115338365275937,0.38666444639381276,0.3883033739262366,0.07061902681986491,0.017986796067620676,0.019001483917236328,0.0008800970093763392,0.3864538627557548
"{'n_estimators': 5.0, 'contamination': 0.0007560336962342262, 'max_samples': 0.9542932510375977, 'max_features': 0.8146097660064697}","{'f1_score': [0.0027434842249657062, 0.004796163069544364, 0.7497062279670975], 'precision': [0.003663003663003663, 0.15789473684210525, 0.9981226533166458], 'recall': [0.0021929824561403508, 0.002435064935064935, 0.6003010914565299], 'roc_auc': [0.278544579177437, 0.598210808043713, 0.8809513574893922], 'pr_auc': [0.03610276898535686, 0.17166137529747788, 0.9474460394656774], 'specificity': [0.9650295705836976, 0.9977149385889745, 0.9979452054794521], 'fit_time': [0.042398929595947266, 0.0831136703491211, 0.09362959861755371], 'score_time': [0.018950462341308594, 0.016888141632080078, 0.015958786010742188]}",0.2524152917538692,0.35163879175699747,0.9868965715507082,0.015462590429347842,0.38656013127391825,0.4369999204083098,0.20164304628257837,0.28189382444154265,0.5859022482368474,0.24608549614911843,0.3850700612495041,0.4014922909947085,0.07304739952087402,0.022092875448751347,0.017265796661376953,0.0012501997993874785,0.339816752087729
"{'n_estimators': 5.000965118408203, 'contamination': 0.0009526978246867657, 'max_samples': 0.5730208158493042, 'max_features': 0.9999391436576843}","{'f1_score': [0.0030816640986132513, 0.004672897196261682, 0.7411876035013012], 'precision': [0.0051813471502590676, 0.057692307692307696, 0.9977707006369426], 'recall': [0.0021929824561403508, 0.002435064935064935, 0.5895747083176515], 'roc_auc': [0.33302615226031135, 0.6136015289694596, 0.8891134686870041], 'pr_auc': [0.03867335778902244, 0.17662101751220075, 0.9499642397309845], 'specificity': [0.9753149910002571, 0.9930019994287347, 0.9976027397260274], 'fit_time': [0.04089045524597168, 0.06691598892211914, 0.09663057327270508], 'score_time': [0.021941423416137695, 0.016953706741333008, 0.05385541915893555]}",0.24964738826539204,0.34757202649361346,0.9886399100516732,0.009607524954113645,0.35354811849316975,0.45603830376570687,0.19806758523628556,0.27683735925457204,0.611913716638925,0.22702483330465195,0.3884195383440692,0.4010459058907224,0.0681456724802653,0.022772414315693795,0.030916849772135418,0.016347330129449562,0.38488888333427307
"{'n_estimators': 5.002588272094727, 'contamination': 0.0007171753677539527, 'max_samples': 0.5278294682502747, 'max_features': 0.30000001192092896}","{'f1_score': [0.0, 0.0016142050040355124, 0.7569525590091143], 'precision': [0.0, 0.14285714285714285, 0.9984586929716399], 'recall': [0.0, 0.0008116883116883117, 0.6095220173127588], 'roc_auc': [0.32713134887875384, 0.6170379891459583, 0.8820823516067664], 'pr_auc': [0.03882067604207374, 0.17949776042742713, 0.947082544593797], 'specificity': [0.9857289791720236, 0.9991431019708654, 0.9982876712328768], 'fit_time': [0.047872304916381836, 0.07878494262695312, 0.08300065994262695], 'score_time': [0.021940946578979492, 0.024931669235229492, 0.015955448150634766]}",0.2528555880043833,0.3564509957404685,0.9943865841252553,0.006131804143509467,0.38043861194292755,0.44088067639848516,0.20344456854148238,0.2871403089198964,0.6087505632104929,0.2266335734597201,0.388466993687766,0.3991541146001357,0.0698859691619873,0.01566086690363605,0.02094268798828125,0.003731891959878426,0.3821169897507728
"{'n_estimators': 5.000321865081787, 'contamination': 0.0008330209529958665, 'max_samples': 0.6517531275749207, 'max_features': 0.5700678825378418}","{'f1_score': [0.0, 0.004754358161648178, 0.7324613555291319], 'precision': [0.0, 0.1, 0.9948320413436692], 'recall': [0.0, 0.002435064935064935, 0.5796010538200979], 'roc_auc': [0.45488822499808274, 0.6033098265987082, 0.8221622194668], 'pr_auc': [0.048942601185433476, 0.1697849950061474, 0.9204236544852045], 'specificity': [0.979686294677295, 0.9961439588688946, 0.9945205479452055], 'fit_time': [0.03441786766052246, 0.051860809326171875, 0.06394720077514648], 'score_time': [0.014967918395996094, 0.013962984085083008, 0.014960050582885742]}",0.24573857123026002,0.34417045442349925,0.990116933830465,0.007405292729506449,0.36494401378122304,0.4472651677695471,0.19401203958505428,0.27265441901104287,0.626786757021197,0.1508551655281728,0.37971708355892847,0.3855069544709659,0.05007529258728027,0.012121232914937718,0.014630317687988281,0.0004718870477813412,0.4759315914930242
