trial,roc_auc_mean,roc_auc_std,value,contamination,n_components
74,0.48404260741557553,0.38940874387694807,9.463386353862745,0.0018813923877553848,0.8523755370559132
75,0.48404260741557553,0.38940874387694807,9.463386353862745,0.002269728227836838,0.8306308533225653
76,0.48404260741557553,0.38940874387694807,9.463386353862745,0.0025672976346182643,0.8348161843728178
77,0.484051726640633,0.38940908520373396,9.464264143689904,0.001749558755187193,0.910315425045817
78,0.484051726640633,0.38940908520373396,9.464264143689904,0.0008295635342253076,0.9222484550248398
79,0.484051726640633,0.38940908520373396,9.464264143689904,0.00069110819642133,0.9341198329661102
80,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0008940618918532584,0.8774400998396952
81,0.484051726640633,0.38940908520373396,9.464264143689904,0.0008288582341462129,0.9089238391495146
82,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0014051044044472172,0.8739651914577776
83,0.48404260741557553,0.38940874387694807,9.463386353862745,0.0008883937147624182,0.8354901360180005
84,0.48404260741557553,0.38940874387694807,9.463386353862745,0.0019161862592416289,0.8350075920274389
85,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0009464990491474935,0.8638514094333616
86,0.484051726640633,0.38940908520373396,9.464264143689904,0.0009650657885626538,0.9177516533329083
87,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0006794832641446241,0.8786094453339028
88,0.484051726640633,0.38940908520373396,9.464264143689904,0.0007596251501093927,0.9139452133604147
89,0.484051726640633,0.38940908520373396,9.464264143689904,0.0005883212135754404,0.9039627705849733
90,0.48404260741557553,0.38940874387694807,9.463386353862745,0.001370385625882039,0.8328715383636864
91,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0010369449621064535,0.8605315502426538
92,0.48404260741557553,0.38940874387694807,9.463386353862745,0.0007220933186197248,0.8578980394322118
93,0.48404260741557553,0.38940874387694807,9.463386353862745,0.0009525395537068508,0.8504790636331824
94,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0009729209929333327,0.8919064783596832
95,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0007016051307291769,0.8743574888650898
96,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0012154689702456004,0.8947921005402406
97,0.484051726640633,0.38940908520373396,9.464264143689904,0.001078276567677411,0.9126827087407063
98,0.48404260741557553,0.38940874387694807,9.463386353862745,0.0007146948960399326,0.8585795818461073
99,0.48404260741557553,0.38940874387694807,9.463386353862745,0.001049523621861352,0.8544015881387886
100,0.48411699092504895,0.3894115404620688,9.470545046298017,0.000740592960758688,0.8723992817734938
101,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0009630357857868196,0.872236148443611
102,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0009170403838859231,0.8783503821970103
103,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0012470140375900028,0.8987187162095072
104,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0007300369433510742,0.8596902549281954
105,0.48404260741557553,0.38940874387694807,9.463386353862745,0.00021638834845995854,0.8450779330121274
106,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0008811967082186006,0.8793773225213728
107,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0011694506015032975,0.8710278505070925
108,0.48411699092504895,0.3894115404620688,9.470545046298017,0.00041628138063736126,0.8873219078092
109,0.484051726640633,0.38940908520373396,9.464264143689904,0.0015356077253016603,0.9113340650383699
110,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0010659365846228468,0.8706516697957587
111,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0009524192750652382,0.8633667390554607
112,0.48411699092504895,0.3894115404620688,9.470545046298017,0.000672260872147265,0.8735360439950624
113,0.48411699092504895,0.3894115404620688,9.470545046298017,0.000983310315752511,0.8781220979900469
114,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0008308176358021474,0.8937167583026997
115,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0009311509393500296,0.8672889056945436
116,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0011022031756107097,0.8695227060376585
117,0.48404260741557553,0.38940874387694807,9.463386353862745,0.0009627047884721412,0.8495803113133471
118,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0008332084123452335,0.8615204167599684
119,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0008380507468973152,0.879076247157917
120,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0012768614380904602,0.8664100559020658
121,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0008591291821630577,0.8680814929791199
122,0.48411699092504895,0.3894115404620688,9.470545046298017,0.001045881208871191,0.8692784219383232
123,0.48404260741557553,0.38940874387694807,9.463386353862745,0.001027634919557143,0.851645209058915
124,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0010537791467766342,0.8924904873260073
