trial,roc_auc_mean,roc_auc_std,value,n_estimators,contamination,max_samples,max_features
74,0.920927705330588,0.0534606556590433,86.74670496715447,214,0.0013877823146838534,0.7582609587215018,0.7135161253169748
75,0.9302648135438115,0.04475629656966525,88.55085169741463,170,0.0008009781743766796,0.8329316212429114,0.5639632097581575
76,0.9171409097841837,0.056788931369641894,86.03519784145418,229,0.0012385836520893822,0.6385584419273551,0.7076047710482944
77,0.9251339319759019,0.0378232048924141,88.73107270834878,206,0.0010301425440800093,0.7845244217509353,0.617596899566404
78,0.9282486845115533,0.03483699367737475,89.34116908341785,203,0.0017411562913951456,0.6991942461165204,0.632490113239557
79,0.9255962594371998,0.0414234330381901,88.41728263990098,238,0.001087503108516196,0.6784140658316331,0.6057140600024404
80,0.9275790246320446,0.04010644816580521,88.74725764662394,246,0.001738809175526743,0.6581271027498631,0.659708409953183
81,0.929359223671166,0.04042346596469504,88.89357577064709,216,0.00040490193749860483,0.7436147190091162,0.6107966898682644
82,0.9202628117135667,0.053900499342563246,86.63623123710035,252,0.001592574494155384,0.7494565442963956,0.7322146622271732
83,0.9155990238694426,0.0591821329767007,85.64168908927418,214,0.0011115357194072413,0.7873636437887706,0.6987816129873915
84,0.9180250514756348,0.055127853641611546,86.28971978340233,207,0.001558275245838991,0.7152705230060405,0.6945369335167759
85,0.9262349386105392,0.04031502927123801,88.59199093393012,231,0.001988109890437662,0.7455668329652547,0.6391700833490987
86,0.9155847250819797,0.05659076443672888,85.89939606452509,179,0.0016706191609894873,0.7133125655930335,0.6884077957043788
87,0.9173649241211012,0.0548903534539353,86.24745706671658,193,0.0015865540465305771,0.6677426523820571,0.6673962837178959
88,0.9251386982383893,0.0435841267708489,88.15545714675405,219,0.0019585874451455505,0.6473109545785132,0.5983758589772256
89,0.9142501715854494,0.0447187668480293,86.95314047374201,234,0.00031785181837169134,0.7016949893861721,0.49933891953186693
90,0.9286776481354382,0.03826234229229297,89.04153058431451,254,0.0008679550399620037,0.7499523163954535,0.6209173813344528
91,0.9129251506138947,0.04704541567386609,86.58797349400285,226,0.0017544455276442814,0.7854560842405297,0.4713237056819536
92,0.9298048692137574,0.04270146020841899,88.71034090053384,211,0.0017271821773296259,0.7377480782135764,0.6564611750939517
93,0.9258131243803859,0.03876136645822467,88.70517579221612,214,0.0016853820325700311,0.6935089268602432,0.5571758451791538
94,0.9186947113551437,0.05302698866965739,86.56677226854863,219,0.0013609914102162186,0.7000113596587831,0.7124073743536017
95,0.9166976473728362,0.05388657376363044,86.28110736092057,203,0.0006444316472065052,0.8457573477804918,0.6686734680644522
96,0.9260299893235721,0.03749563247698104,88.8534356846591,254,0.0005599713679051864,0.7809156321900013,0.6525210281112019
97,0.9249123007702281,0.04103989034891481,88.38724104213134,229,0.0011203418144746962,0.7661048903559391,0.5390028891990963
98,0.9275909402882636,0.04048112619717033,88.71098140910932,217,0.0010622590899491582,0.6723166784269536,0.6468231134269004
99,0.9300241172881872,0.03851077163600305,89.15133456521842,248,0.0006080961831845179,0.7334790684117027,0.6597300846117937
