params,fold_scores,mean_test_roc_auc,std_test_roc_auc,mean_fit_time,std_fit_time,mean_score_time,std_score_time
"{'contamination': 0.0031742386054247618, 'n_bins': 4239.61572265625, 'n_random_cuts': 687.1678466796875}","{'roc_auc': [0.23736702127659573, 0.06117021276595745, 0.30376344086021506], 'fit_time': [0.45481252670288086, 0.3584754467010498, 0.35709238052368164], 'score_time': [0.03812861442565918, 0.015467166900634766, 0.03215980529785156]}",0.20076689163425607,0.10236387936075622,0.3901267846425374,0.04574321179100936,0.028585195541381836,0.009590574441107797
"{'contamination': 0.0025673527270555496, 'n_bins': 455.9661865234375, 'n_random_cuts': 394.1970520019531}","{'roc_auc': [0.2925531914893617, 0.12566489361702127, 0.3245967741935484], 'fit_time': [0.12521839141845703, 0.11060023307800293, 0.10343098640441895], 'score_time': [0.010971546173095703, 0.007977485656738281, 0.007036685943603516]}",0.2476049530999771,0.0872113577395365,0.1130832036336263,0.009066296980079665,0.008661905924479166,0.0016777176130248514
"{'contamination': 0.00046856392873451114, 'n_bins': 3889.104736328125, 'n_random_cuts': 736.7676391601562}","{'roc_auc': [0.24202127659574468, 0.0538563829787234, 0.28427419354838707], 'fit_time': [0.2568929195404053, 0.21144890785217285, 0.17779850959777832], 'score_time': [0.025447607040405273, 0.01706552505493164, 0.015961408615112305]}",0.1933839510409517,0.10015748910181918,0.2153801123301188,0.032409589090562366,0.01949151357014974,0.00423564677060346
"{'contamination': 0.0015737792709842324, 'n_bins': 126.63063049316406, 'n_random_cuts': 792.394775390625}","{'roc_auc': [0.3643617021276596, 0.17952127659574466, 0.4966397849462365], 'fit_time': [0.153914213180542, 0.18826866149902344, 0.420245885848999], 'score_time': [0.015697240829467773, 0.04490375518798828, 0.014961004257202148]}",0.3468409212232136,0.1300545280699252,0.25414292017618817,0.1182869489385707,0.025187333424886067,0.013944855118835843
"{'contamination': 0.0010717075783759356, 'n_bins': 3378.629638671875, 'n_random_cuts': 846.0706787109375}","{'roc_auc': [0.2327127659574468, 0.06183510638297872, 0.2896505376344086], 'fit_time': [0.3632376194000244, 0.4186389446258545, 0.6503119468688965], 'score_time': [0.027617931365966797, 0.03475141525268555, 0.1255207061767578]}",0.1947328033249447,0.09680504756207511,0.4773961702982585,0.124344215920872,0.06263001759847005,0.044565686953670976
"{'contamination': 0.0006889457581564784, 'n_bins': 4885.9208984375, 'n_random_cuts': 161.7054443359375}","{'roc_auc': [0.22639627659574468, 0.07579787234042554, 0.23185483870967744], 'fit_time': [0.1355900764465332, 0.1412525177001953, 0.10871028900146484], 'score_time': [0.009973287582397461, 0.014961004257202148, 0.007977962493896484]}",0.17801632921528254,0.07231370856435483,0.12851762771606445,0.014195393864535801,0.010970751444498697,0.002936769050523177
"{'contamination': 0.0014008046127855778, 'n_bins': 2470.24072265625, 'n_random_cuts': 517.8348388671875}","{'roc_auc': [0.24268617021276598, 0.06648936170212766, 0.2701612903225806], 'fit_time': [0.28420305252075195, 0.36566662788391113, 0.3893320560455322], 'score_time': [0.06743025779724121, 0.02892279624938965, 0.06511640548706055]}",0.1931122740791581,0.09023577269351304,0.34640057881673175,0.0450289709003921,0.05382315317789713,0.0176325326126384
"{'contamination': 0.0017034540651366115, 'n_bins': 2450.8369140625, 'n_random_cuts': 39.92987060546875}","{'roc_auc': [0.25166223404255317, 0.09707446808510638, 0.2755376344086022], 'fit_time': [0.016953229904174805, 0.03390812873840332, 0.01795029640197754], 'score_time': [0.0019948482513427734, 0.0019948482513427734, 0.0019965171813964844]}",0.20809144551208725,0.07910366887162217,0.022937218348185223,0.007768277007286611,0.0019954045613606772,7.867411722033553e-07
"{'contamination': 0.004834562540054321, 'n_bins': 1545.9884033203125, 'n_random_cuts': 217.99681091308594}","{'roc_auc': [0.2220744680851064, 0.0711436170212766, 0.2977150537634409], 'fit_time': [0.12198400497436523, 0.2841157913208008, 0.1965334415435791], 'score_time': [0.00897526741027832, 0.007976055145263672, 0.009972810745239258]}",0.19697771295660793,0.0941843558323674,0.20087774594624838,0.06626126959005461,0.008974711100260416,0.0008151721550769067
"{'contamination': 0.00041678501293063164, 'n_bins': 2886.732666015625, 'n_random_cuts': 478.22381591796875}","{'roc_auc': [0.2300531914893617, 0.0538563829787234, 0.30107526881720426], 'fit_time': [0.30573010444641113, 0.2283344268798828, 0.38198089599609375], 'score_time': [0.01894831657409668, 0.018950462341308594, 0.03490638732910156]}",0.1949949477617631,0.1039265917807781,0.3053484757741292,0.06272648881348464,0.024268388748168945,0.00752220098583841
"{'contamination': 0.0017778280889615417, 'n_bins': 344.68170166015625, 'n_random_cuts': 971.0150756835938}","{'roc_auc': [0.31981382978723405, 0.12499999999999999, 0.3077956989247312], 'fit_time': [1.0721285343170166, 0.6819024085998535, 0.39293861389160156], 'score_time': [0.046003103256225586, 0.04550743103027344, 0.04288482666015625]}",0.2508698429039884,0.08913855088891338,0.7156565189361572,0.2783034818027698,0.04479845364888509,0.0013681858859791063
"{'contamination': 0.004515943583101034, 'n_bins': 2062.68798828125, 'n_random_cuts': 746.3377075195312}","{'roc_auc': [0.25, 0.05718085106382979, 0.2956989247311828], 'fit_time': [0.41927099227905273, 0.27788758277893066, 0.1929774284362793], 'score_time': [0.023938417434692383, 0.021938085556030273, 0.016956090927124023]}",0.2009599252650042,0.10336477338051132,0.2967120011647542,0.09333796406907265,0.02094419797261556,0.002935879227865978
