trial,roc_auc_mean,roc_auc_std,value,n_neighbors,contamination
118,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.00480928566281439
119,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.0044875787977277076
120,0.9251148669259514,0.014565541027464353,91.0549325898487,23,0.0037810481175651013
121,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004636323621582542
122,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004776166742250125
123,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004924222821771666
124,0.9221037805994051,0.013297071853297572,90.88067087461076,18,0.0030247284800148867
125,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.0047148061091639324
126,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.004557573654707221
127,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.0048326694420984554
128,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004348282056465148
129,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.002010162769865547
130,0.9251148669259514,0.014565541027464353,91.0549325898487,23,0.0009249200265548005
131,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.0016033347531252582
132,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.0017954942127953917
133,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.0005715139873724252
134,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.0023175262996466177
135,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.004922976745258325
136,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.0001851445235089128
137,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004645674201274287
138,0.9251148669259514,0.014565541027464353,91.0549325898487,23,0.004791650152950746
139,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.0025905428548519877
140,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.0020883084978946982
141,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.003410820596498505
142,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.0024273197607050626
143,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004886635689425581
144,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.0011795978817827604
145,0.9242164264470373,0.013622790331164224,91.0593636115873,15,0.004437165366661785
146,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.003596434983032508
147,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004542915354141415
148,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.004710289208440571
149,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.0029451674958501264
150,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.003171681972983527
151,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.00264933892087235
