params,fold_scores,mean_test_roc_auc,std_test_roc_auc,mean_fit_time,std_fit_time,mean_score_time,std_score_time
"{'kernel': 'rbf', 'nu': 0.0017351917922496796, 'gamma': 0.05018177255988121}","{'roc_auc': [0.8337765957446809, 0.9368351063829787, 0.8870967741935484], 'fit_time': [0.002991914749145508, 0.001993894577026367, 0.0029914379119873047], 'score_time': [0.0009992122650146484, 0.000997304916381836, 0.0]}",0.8859028254404028,0.04208193031824856,0.0026590824127197266,0.00047035886966530183,0.0006655057271321615,0.00047058425680493676
"{'kernel': 'linear', 'nu': 0.0020248941145837307, 'gamma': 0.0898599699139595}","{'roc_auc': [0.4142287234042553, 0.31914893617021267, 0.3521505376344086], 'fit_time': [0.0051479339599609375, 0.0019941329956054688, 0.0009965896606445312], 'score_time': [0.0, 0.0, 0.0009984970092773438]}",0.3618427324029589,0.039416540222697874,0.002712885538736979,0.0017693442827895717,0.00033283233642578125,0.00047069600416966455
"{'kernel': 'linear', 'nu': 0.000638780475128442, 'gamma': 0.09267865866422653}","{'roc_auc': [0.6436170212765957, 0.3191489361702128, 0.3797043010752688], 'fit_time': [0.003989219665527344, 0.002992391586303711, 0.003989696502685547], 'score_time': [0.0009975433349609375, 0.0, 0.0]}",0.4474900861740258,0.14086889663617938,0.003657102584838867,0.0004700216949061126,0.0003325144449869792,0.00047024643778554833
"{'kernel': 'rbf', 'nu': 0.003550558118149638, 'gamma': 0.04579582437872887}","{'roc_auc': [0.836436170212766, 0.9321808510638299, 0.8850806451612904], 'fit_time': [0.0019948482513427734, 0.0009980201721191406, 0.004988908767700195], 'score_time': [0.0, 0.0009968280792236328, 0.0]}",0.8845658888126288,0.03908929698687256,0.0026605923970540366,0.0016959185114555368,0.0003322760264078776,0.0004699092629974612
"{'kernel': 'linear', 'nu': 0.0005491799674928188, 'gamma': 0.06992597877979279}","{'roc_auc': [0.6436170212765957, 0.31981382978723405, 0.3797043010752688], 'fit_time': [0.0009975433349609375, 0.001994609832763672, 0.001993894577026367], 'score_time': [0.0009970664978027344, 0.0009975433349609375, 0.00099945068359375]}",0.44771171737969956,0.14066717979916796,0.0016620159149169922,0.0004698531579353873,0.0009980201721191406,1.0300859925600466e-06
"{'kernel': 'poly', 'nu': 0.002931274939328432, 'gamma': 0.05296221375465393}","{'roc_auc': [0.3863031914893617, 0.3789893617021276, 0.09946236559139784], 'fit_time': [0.003988981246948242, 0.0019958019256591797, 0.003989696502685547], 'score_time': [0.0, 0.00099945068359375, 0.0]}",0.2882516395942957,0.13352756397200066,0.0033248265584309897,0.0009397623755621686,0.0003331502278645833,0.0004711455705537808
"{'kernel': 'poly', 'nu': 0.0038401593919843435, 'gamma': 0.07040463387966156}","{'roc_auc': [0.16888297872340424, 0.22606382978723405, 0.16129032258064513], 'fit_time': [0.0033974647521972656, 0.0029921531677246094, 0.0029935836791992188], 'score_time': [0.000997781753540039, 0.0, 0.0009965896606445312]}",0.18541237703042782,0.02891156130056719,0.0031277338663736978,0.00019072943255852366,0.0006647904713948568,0.00047007810231521795
"{'kernel': 'linear', 'nu': 0.004461850039660931, 'gamma': 0.007321051321923733}","{'roc_auc': [0.47805851063829785, 0.37367021276595747, 0.3575268817204301], 'fit_time': [0.0029914379119873047, 0.002991914749145508, 0.002992391586303711], 'score_time': [0.0, 0.0009982585906982422, 0.000997304916381836]}",0.4030852017082285,0.053422214937571225,0.002991914749145508,3.8933590933214475e-07,0.0006651878356933594,0.0004703589905164545
"{'kernel': 'sigmoid', 'nu': 0.0038250423967838287, 'gamma': 0.09598197042942047}","{'roc_auc': [0.38563829787234044, 0.4155585106382979, 0.44489247311827956], 'fit_time': [0.003992795944213867, 0.002992391586303711, 0.002992391586303711], 'score_time': [0.0, 0.0, 0.0]}",0.415363093876306,0.024190810401228353,0.003325859705607096,0.00047159513693789695,0.0,0.0
"{'kernel': 'poly', 'nu': 0.00026500641251914203, 'gamma': 0.027199212461709976}","{'roc_auc': [0.9640957446808511, 0.930186170212766, 0.3400537634408602], 'fit_time': [0.0019927024841308594, 0.0029921531677246094, 0.0029926300048828125], 'score_time': [0.0009975433349609375, 0.0, 0.0009958744049072266]}",0.7447785594448257,0.2865182777014296,0.0026591618855794272,0.00047125800235667525,0.0006644725799560547,0.00046985356120602274
"{'kernel': 'poly', 'nu': 0.004727968014776707, 'gamma': 0.02483786642551422}","{'roc_auc': [0.34175531914893614, 0.06515957446808511, 0.364247311827957], 'fit_time': [0.002993345260620117, 0.002991914749145508, 0.0029916763305664062], 'score_time': [0.0009982585906982422, 0.000997781753540039, 0.0]}",0.2570540684816594,0.13600023298561553,0.0029923121134440103,7.370009816086851e-07,0.0006653467814127604,0.00047047126125170747
"{'kernel': 'poly', 'nu': 0.0009463143651373684, 'gamma': 0.09211213141679764}","{'roc_auc': [0.15359042553191488, 0.3789893617021276, 0.19959677419354835], 'fit_time': [0.0019960403442382812, 0.0019953250885009766, 0.0019948482513427734], 'score_time': [0.0016782283782958984, 0.0009968280792236328, 0.0]}",0.24405885380919698,0.09724137493706786,0.0019954045613606772,4.899036091938795e-07,0.0008916854858398438,0.0006891559311394492
"{'kernel': 'linear', 'nu': 0.00042504584416747093, 'gamma': 0.052637312561273575}","{'roc_auc': [0.4128989361702128, 0.31981382978723405, 0.280241935483871], 'fit_time': [0.0019931793212890625, 0.002988576889038086, 0.0029914379119873047], 'score_time': [0.0009975433349609375, 0.0009968280792236328, 0.000997781753540039]}",0.3376515671471059,0.055606406185881425,0.002657731374104818,0.00046991071459679426,0.0009973843892415364,4.052336624139774e-07
"{'kernel': 'poly', 'nu': 0.000887678237631917, 'gamma': 0.010369444265961647}","{'roc_auc': [0.9640957446808511, 0.930186170212766, 0.9428763440860215], 'fit_time': [0.0019943714141845703, 0.002991914749145508, 0.0029921531677246094], 'score_time': [0.0009963512420654297, 0.0009970664978027344, 0.0009984970092773438]}",0.9457194196598796,0.013988736402088043,0.002659479777018229,0.00047030264365569767,0.000997304916381836,8.920806376395086e-07
"{'kernel': 'rbf', 'nu': 0.001795705407857895, 'gamma': 0.07935863733291626}","{'roc_auc': [0.8284574468085107, 0.9275265957446809, 0.8931451612903225], 'fit_time': [0.002993345260620117, 0.0019943714141845703, 0.0029878616333007812], 'score_time': [0.000997304916381836, 0.0009970664978027344, 0.0009970664978027344]}",0.8830430679478379,0.04107077862389485,0.0026585261027018228,0.0004696336197872628,0.0009971459706624348,1.1239159602905075e-07
"{'kernel': 'linear', 'nu': 0.004357487428933382, 'gamma': 0.09572234749794006}","{'roc_auc': [0.47805851063829785, 0.37367021276595747, 0.3575268817204301], 'fit_time': [0.0039882659912109375, 0.0026290416717529297, 0.0034999847412109375], 'score_time': [0.0, 0.0009982585906982422, 0.0009984970092773438]}",0.4030852017082285,0.053422214937571225,0.0033724308013916016,0.0005621833587742806,0.0006655851999918619,0.00047063981843656897
"{'kernel': 'rbf', 'nu': 0.002732782857492566, 'gamma': 0.04528569430112839}","{'roc_auc': [0.8291223404255319, 0.9321808510638299, 0.883736559139785], 'fit_time': [0.003988504409790039, 0.002991914749145508, 0.004061698913574219], 'score_time': [0.0, 0.000997304916381836, 0.000997304916381836]}",0.8816799168763824,0.04209858657006396,0.003680706024169922,0.00048796476939656997,0.0006648699442545573,0.0004701340461895193
"{'kernel': 'sigmoid', 'nu': 0.0015833111247047782, 'gamma': 0.0410328209400177}","{'roc_auc': [0.48005319148936176, 0.7034574468085106, 0.5967741935483871], 'fit_time': [0.0029916763305664062, 0.004026889801025391, 0.0019943714141845703], 'score_time': [0.000997304916381836, 0.000993490219116211, 0.0009975433349609375]}",0.5934282772820865,0.09123508714824462,0.003004312515258789,0.0008298202629020285,0.0009961128234863281,1.8570139321562326e-06
"{'kernel': 'linear', 'nu': 0.002116830088198185, 'gamma': 0.0995415523648262}","{'roc_auc': [0.5345744680851063, 0.31914893617021267, 0.3521505376344086], 'fit_time': [0.0029888153076171875, 0.0029916763305664062, 0.003992557525634766], 'score_time': [0.000997304916381836, 0.0009975433349609375, 0.0009958744049072266]}",0.4019579806299092,0.09473691988349014,0.0033243497212727866,0.0004724957133638158,0.0009969075520833333,7.370009816086851e-07
"{'kernel': 'poly', 'nu': 0.0038705358747392893, 'gamma': 0.08423391729593277}","{'roc_auc': [0.33377659574468077, 0.14960106382978725, 0.2278225806451613], 'fit_time': [0.0019936561584472656, 0.0029921531677246094, 0.0029921531677246094], 'score_time': [0.0009980201721191406, 0.000997304916381836, 0.0009970664978027344]}",0.23706674673987646,0.07547294258705567,0.002659320831298828,0.00047069600416966455,0.000997463862101237,4.052336624139774e-07
"{'kernel': 'linear', 'nu': 0.0033232406713068485, 'gamma': 0.0498228445649147}","{'roc_auc': [0.43417553191489366, 0.37367021276595747, 0.35551075268817206], 'fit_time': [0.0019936561584472656, 0.000997304916381836, 0.003187894821166992], 'score_time': [0.0, 0.0009975433349609375, 0.000995635986328125]}",0.3877854991230077,0.03363002482309878,0.0020596186319986978,0.000895520079311245,0.0006643931070963541,0.00046979751671158816
"{'kernel': 'poly', 'nu': 0.003584295744076371, 'gamma': 0.0037267697043716908}","{'roc_auc': [0.9640957446808511, 0.930186170212766, 0.9428763440860215], 'fit_time': [0.0019943714141845703, 0.001995086669921875, 0.002992868423461914], 'score_time': [0.0, 0.0009968280792236328, 0.000997304916381836]}",0.9457194196598796,0.013988736402088043,0.002327442169189453,0.0004705275073815209,0.0006647109985351562,0.0004700216949061126
