trial,roc_auc_mean,roc_auc_std,value,contamination,n_bins,n_random_cuts
66,0.23134484862350338,0.08155866957127485,14.978617905222851,0.003329048787428113,544,171
67,0.26903406924426143,0.10780957418757449,16.122449505668694,0.003665146455461885,267,97
68,0.2764885037748799,0.0977178585980074,17.877064517687245,0.0026751169703814505,263,164
69,0.23940221535880424,0.0994858409691383,13.991637438966592,0.0027338330213276625,506,57
70,0.23534374285060625,0.07343907005306267,16.190467279754355,0.0027179243863363063,559,413
71,0.2618965911690689,0.10591635445033874,15.598023671873012,0.002477073808476426,541,22
72,0.21357860520094563,0.08073671923376585,13.284188596717977,0.0034164417271690816,613,325
73,0.21704844429192405,0.05970746394705531,15.734098034486873,0.003250618799298586,750,145
74,0.22512010981468775,0.0736676055681366,15.145250424655115,0.002373239731033911,733,398
75,0.20677238236864182,0.08826214285972203,11.851023950891978,0.0025432606886385133,1043,173
76,0.23240295889575227,0.07502646527376444,15.737649362198782,0.0024689978374103226,544,317
77,0.38225425150613895,0.13922592393828054,24.30283275678584,0.003425162281705263,112,312
78,0.2562581026462289,0.0861793527927568,17.00787498534721,0.002633319205370981,346,315
79,0.23541881148478608,0.07449938612540798,16.091942535937807,0.003480760671095314,587,153
80,0.22572065888812629,0.07498264513276293,15.073801375536336,0.00360019955082049,365,237
81,0.29613980401128653,0.11423682949674663,18.19029745145399,0.0021999373964356876,191,707
82,0.24911824143979255,0.0805069245816769,16.861131685811564,0.003527540738093684,504,123
83,0.24378717684740336,0.09060314664384139,15.318403020356197,0.0034165107914320377,498,307
84,0.24708781362007168,0.09369325707723092,15.339455654284077,0.0030685324906697124,408,193
85,0.2983656485929993,0.10733881226283319,19.10268363301661,0.002097345421392997,181,692
86,0.2640032791885915,0.09615698562032376,16.784629356826773,0.002140620039024347,267,504
87,0.3916008922443377,0.13380175614509834,25.77991360992393,0.0035219941394537936,105,431
88,0.21580683291390224,0.0846898003765593,13.111703253734294,0.0020500603942015124,667,506
89,0.24293639899336536,0.10001348653797139,14.292291245539396,0.0029705977067921024,337,246
90,0.2242407343857241,0.08857343873539449,13.56672956503296,0.0022047358799844765,730,514
91,0.2255347746511096,0.07838178923644869,14.715298541466094,0.0028335705581921896,611,411
92,0.23934978647144053,0.08194366428634713,15.740612218509343,0.002677783052667932,485,596
93,0.2535889956531686,0.08485319265059071,16.87358030025779,0.002209721248658694,294,737
94,0.31013116754365894,0.10988911987740932,20.024204766624962,0.0021691099563128586,177,623
95,0.2348790322580645,0.08024533857816027,15.463369367990424,0.003469496467741301,402,185
96,0.23224090597117364,0.08578814189315263,14.645276407802099,0.0022079851233346155,644,396
97,0.2813763059559216,0.09790145155041195,18.347485440550965,0.00261090553727482,231,780
98,0.2515514184397163,0.08713630339414632,16.441511504556996,0.0024891080913641292,371,493
99,0.23488856478303974,0.07911605596918816,15.577250881385158,0.002884639083109108,536,648
100,0.22977913139632422,0.08380850473994368,14.597062665638056,0.001349582313650177,635,963
101,0.2513703004651872,0.08879576608427914,16.257453438090806,0.0024419922030071194,322,676
102,0.315731525966598,0.104982570530096,21.074895543650197,0.0009837656914519098,155,964
103,0.3063729695721803,0.10649477676038525,19.987819281179505,0.002564325866760705,177,288
104,0.2709882368641806,0.09217150057256297,17.881673629161764,0.0036891811610657676,216,515
105,0.23886839396019213,0.08427834210342933,15.459005185676281,0.0028862525890258283,434,532
106,0.25668944940135746,0.09406067039863511,16.262877900272237,0.002469657931736917,308,634
107,0.26298568214748724,0.10379886567959294,15.918681646789429,0.0021554575903981773,295,228
108,0.30172586364676274,0.11323644985523643,18.84894137915263,0.001864119678545789,170,634
109,0.2722632120796156,0.10086645367662388,17.139675840299173,0.002051076422739172,257,590
110,0.3390051856935865,0.1180165265687352,22.09886591248513,0.0016120904061459804,129,818
111,0.38735415236787923,0.1482604352447013,23.909371712317792,0.002581094914852785,111,414
112,0.28430040799206896,0.10794141275752957,17.63589952345394,0.002629800822654623,242,428
113,0.2700373674979028,0.09317013130427618,17.686723619362663,0.0017480343399541318,273,645
114,0.25514279722412875,0.0953419224080588,15.980087481606994,0.00232181122580645,305,582
115,0.30572714100510945,0.1123145123177332,19.341262868737623,0.002273354432081834,165,554
116,0.22512487607717532,0.0944297014588067,13.06951746183686,0.002404482302967909,642,424
117,0.26491125219248074,0.0956640963789873,16.924715581349343,0.002484917477484423,300,426
118,0.23353017997407152,0.06975239016379989,16.377778981027163,0.003211826168820181,451,451
119,0.32057881491649504,0.12611557940083676,19.44632355156583,0.0029103824113824446,140,452
120,0.2614342637077709,0.09288729789929338,16.85469658084775,0.0033193169649995214,301,307
121,0.23796757035003432,0.07941021791520864,15.855735243482568,0.002119374100787627,525,403
122,0.2506958743231907,0.08731114647187786,16.33847278513128,0.0033790757894105175,353,436
123,0.2555479295355754,0.09342515443073596,16.212277510483947,0.0025178792896541403,307,758
124,0.28592570350034324,0.0980845298147722,18.784117368557105,0.002456752600212338,192,515
125,0.28499151605277206,0.0956455602458154,18.934595580695667,0.0024320218977524006,243,580
126,0.23513402730115152,0.09084355594270413,14.429047135844739,0.0010429446402818322,463,791
127,0.2525022878059941,0.09309052977044788,15.941175803554621,0.002489695959925519,329,430
128,0.27733451536643033,0.09992746763141984,17.740704773501047,0.0027418387303761306,252,473
129,0.2573591092808663,0.09082205480828286,16.653705447258343,0.002194344599338209,305,652
130,0.2462227369785709,0.08027741575288756,16.594532122568335,0.0025668025415910905,376,413
131,0.32385800350796917,0.12415304454363145,19.97049589643377,0.002467546160557535,153,580
132,0.24442823915198655,0.07932202659584106,16.51062125561455,0.002119141618693392,439,691
133,0.36306766186227407,0.13155112894714813,23.151653291512595,0.002738631614446623,129,450
134,0.2562390375962785,0.09374165927541256,16.24973783208659,0.002644972106371915,334,407
135,0.4116716235796538,0.1406486124509068,27.102301112874706,0.0024203486537156915,97,606
136,0.2936875619614123,0.10235922762001108,19.132833434140124,0.002183350894088071,189,632
137,0.36819616029894003,0.12731802126337505,24.087813903556498,0.0033324196619101947,114,325
138,0.4669054564172958,0.14489500687930665,32.20104495379892,0.0026977975850004205,80,446
139,0.2930655647067795,0.10351558379249295,18.954998091428656,0.0025867581873446365,181,513
140,0.30571045908640276,0.1019738901329679,20.373656895343487,0.0022741781795261886,168,536
141,0.2836664950812171,0.09638575320197805,18.728074187923905,0.0023663564927811887,195,608
142,0.386567719057424,0.15562966823515129,23.09380508222727,0.0023244463076208775,110,540
143,0.3120901014260657,0.11854476950039552,19.35453319256702,0.002952957897093393,197,358
144,0.2719867688553344,0.07952334833686667,19.246342051846774,0.0024660652928985135,255,499
145,0.4178201021886678,0.11990313589639844,29.791696629226934,0.0024479089785663048,100,537
146,0.3033082627926485,0.11306556258268179,19.02427002099667,0.0020558355364507625,172,610
147,0.37868908716540833,0.13665791415788336,24.203117300752496,0.002780330365165044,113,500
148,0.4821741782963471,0.12822261446984098,35.39515638265062,0.0029034560384249212,83,455
