params,fold_scores,mean_test_roc_auc,std_test_roc_auc,mean_fit_time,std_fit_time,mean_score_time,std_score_time,roc_auc_adjusted
"{'n_estimators': 248.95993041992188, 'contamination': 0.004999990109354258, 'max_samples': 0.33893883228302, 'max_features': 0.9999914169311523}","{'roc_auc': [0.8204787234042553, 0.9301861702127661, 0.9260752688172044], 'fit_time': [0.7103745937347412, 0.813483476638794, 0.6558737754821777], 'score_time': [0.01068568229675293, 0.01548314094543457, 0.010484933853149414]}",0.8922467208114085,0.05077538095341006,0.7265772819519043,0.0653559474659928,0.01221791903177897,0.0023103146385236297,0.8414713398579985
"{'n_estimators': 247.9406280517578, 'contamination': 0.004999999888241291, 'max_samples': 0.799209475517273, 'max_features': 1.0}","{'roc_auc': [0.8610372340425533, 0.9328457446808511, 0.9294354838709677], 'fit_time': [0.8923065662384033, 0.733227014541626, 0.794497013092041], 'score_time': [0.04312491416931152, 0.011152982711791992, 0.0169832706451416]}",0.9077728208647908,0.03307636393168619,0.8066768646240234,0.0655125307582082,0.02375372250874837,0.013902766250142308,0.8746964569331046
"{'n_estimators': 105.3968505859375, 'contamination': 0.00010023218783317134, 'max_samples': 0.9766506552696228, 'max_features': 0.3000040054321289}","{'roc_auc': [0.8617021276595745, 0.9428191489361702, 0.9522849462365591], 'fit_time': [0.4036126136779785, 0.25946688652038574, 0.2607131004333496], 'score_time': [0.00746464729309082, 0.0056514739990234375, 0.009301424026489258]}",0.918935407610768,0.04065412303905367,0.307930866877238,0.06765912486087883,0.007472515106201172,0.0014900962446794705,0.8782812845717143
"{'n_estimators': 176.93630981445312, 'contamination': 0.004999999422580004, 'max_samples': 0.9200459122657776, 'max_features': 0.9999975562095642}","{'roc_auc': [0.8723404255319149, 0.928191489361702, 0.9173387096774194], 'fit_time': [0.6132972240447998, 0.5391154289245605, 0.44486141204833984], 'score_time': [0.010968923568725586, 0.007976293563842773, 0.007546424865722656]}",0.905956874857012,0.02417981190496202,0.5324246883392334,0.06892619336610144,0.008830547332763672,0.0015222103379189211,0.88177706295205
"{'n_estimators': 118.85503387451172, 'contamination': 0.0001, 'max_samples': 0.7875847816467285, 'max_features': 0.3000114858150482}","{'roc_auc': [0.8736702127659575, 0.9355053191489361, 0.9193548387096774], 'fit_time': [0.33863091468811035, 0.3528287410736084, 0.4716649055480957], 'score_time': [0.004985809326171875, 0.005982875823974609, 0.0049860477447509766]}",0.9095101235415237,0.026186305681979757,0.3877081871032715,0.05964865182905535,0.005318244298299153,0.0004699654688748367,0.883323817859544
"{'n_estimators': 46.90388488769531, 'contamination': 0.004999992437660694, 'max_samples': 0.5271984338760376, 'max_features': 0.3000001311302185}","{'roc_auc': [0.8537234042553192, 0.9454787234042553, 0.9462365591397849], 'fit_time': [0.17429852485656738, 0.13524222373962402, 0.15773653984069824], 'score_time': [0.00373077392578125, 0.0030405521392822266, 0.002991914749145508]}",0.9151462289331199,0.0434335977656344,0.15575909614562988,0.016005860945493517,0.003254413604736328,0.0003374223520844893,0.8717126311674855
"{'n_estimators': 52.30021286010742, 'contamination': 0.0024430088233202696, 'max_samples': 0.37094587087631226, 'max_features': 0.30000001192092896}","{'roc_auc': [0.7679521276595744, 0.9547872340425533, 0.9348118279569892], 'fit_time': [0.18769502639770508, 0.16056013107299805, 0.16088366508483887], 'score_time': [0.0040628910064697266, 0.0019948482513427734, 0.005023002624511719]}",0.8858503965530389,0.08376457313259009,0.16971294085184732,0.01271594062579496,0.0036935806274414062,0.0012635195141558844,0.8020858234204488
"{'n_estimators': 38.21596145629883, 'contamination': 0.0001, 'max_samples': 0.8312065005302429, 'max_features': 0.9999999403953552}","{'roc_auc': [0.8257978723404255, 0.9408244680851066, 0.9354838709677419], 'fit_time': [0.20033884048461914, 0.14842724800109863, 0.1806788444519043], 'score_time': [0.0029916763305664062, 0.0039882659912109375, 0.003989458084106445]}",0.9007020704644247,0.05301012272413633,0.17648164431254068,0.021399621886086073,0.003656466801961263,0.00047007810231521795,0.8476919477402884
"{'n_estimators': 45.53489303588867, 'contamination': 0.0001893852313514799, 'max_samples': 0.675624668598175, 'max_features': 1.0}","{'roc_auc': [0.8178191489361702, 0.9507978723404256, 0.9361559139784946], 'fit_time': [0.22817778587341309, 0.13114595413208008, 0.13040471076965332], 'score_time': [0.003989219665527344, 0.003968477249145508, 0.003490447998046875]}",0.9015909784183634,0.05953646668086921,0.16324281692504883,0.045916954056022766,0.0038160483042399087,0.0002303898601705197,0.8420545117374942
"{'n_estimators': 29.274307250976562, 'contamination': 0.004999999888241291, 'max_samples': 0.7999107241630554, 'max_features': 0.31969332695007324}","{'roc_auc': [0.8763297872340426, 0.9414893617021276, 0.9321236559139785], 'fit_time': [0.07043242454528809, 0.09392452239990234, 0.08969259262084961], 'score_time': [0.0029916763305664062, 0.0019948482513427734, 0.0032320022583007812]}",0.9166476016167162,0.028764257087275685,0.08468317985534668,0.01022383905696488,0.002739508946736654,0.0005356172771259468,0.8878833445294405
