params,fold_scores,mean_test_roc_auc,std_test_roc_auc,mean_fit_time,std_fit_time,mean_score_time,std_score_time
"{'n_neighbors': 18.57473373413086, 'contamination': 0.002094982424750924}","{'roc_auc': [0.9072473404255318, 0.9202127659574468, 0.9395161290322581], 'fit_time': [0.022592544555664062, 0.023935317993164062, 0.021451234817504883], 'score_time': [0.02021479606628418, 0.021183013916015625, 0.02146315574645996]}",0.9223254118050789,0.013258107806031635,0.022659699122111004,0.0010152338343929297,0.020953655242919922,0.0005348236615716193
"{'n_neighbors': 20.831560134887695, 'contamination': 0.002975491341203451}","{'roc_auc': [0.9075797872340425, 0.9162234042553191, 0.9388440860215054], 'fit_time': [0.01994609832763672, 0.018443822860717773, 0.018621206283569336], 'score_time': [0.020223140716552734, 0.019463300704956055, 0.019948244094848633]}",0.9208824258369557,0.013181905685232668,0.01900370915730794,0.0006702930856177037,0.019878228505452473,0.000314129323553935
"{'n_neighbors': 12.803995132446289, 'contamination': 0.0017221218440681696}","{'roc_auc': [0.9089095744680852, 0.9235372340425532, 0.9415322580645161], 'fit_time': [0.020137310028076172, 0.019947290420532227, 0.018465042114257812], 'score_time': [0.016938209533691406, 0.021396875381469727, 0.019189834594726562]}",0.9246596888583848,0.013341783985369645,0.019516547520955402,0.0007475625182544885,0.019174973169962566,0.001820273043986479
"{'n_neighbors': 18.809776306152344, 'contamination': 0.003839491866528988}","{'roc_auc': [0.9072473404255318, 0.9202127659574468, 0.9395161290322581], 'fit_time': [0.01894998550415039, 0.02293682098388672, 0.020140886306762695], 'score_time': [0.016953706741333008, 0.01795172691345215, 0.018453121185302734]}",0.9223254118050789,0.013258107806031635,0.0206758975982666,0.0016710061035493174,0.017786184946695965,0.0006232249597934871
"{'n_neighbors': 4.456868648529053, 'contamination': 0.0010869188699871302}","{'roc_auc': [0.6223404255319149, 0.9827127659574468, 0.771505376344086], 'fit_time': [0.019679784774780273, 0.021200895309448242, 0.019948244094848633], 'score_time': [0.016976356506347656, 0.02094244956970215, 0.01857757568359375]}",0.792186189277816,0.1478463796279634,0.020276308059692383,0.0006629046127667838,0.01883212725321452,0.0016291246981113207
"{'n_neighbors': 3.233273506164551, 'contamination': 0.004257143475115299}","{'roc_auc': [0.6735372340425532, 0.9860372340425532, 0.8037634408602151], 'fit_time': [0.023053407669067383, 0.0184628963470459, 0.019101619720458984], 'score_time': [0.018664836883544922, 0.019046306610107422, 0.02057623863220215]}",0.8211126363151071,0.12816606008664186,0.020205974578857422,0.002030254218786904,0.019429127375284832,0.0008259451010330483
"{'n_neighbors': 17.195602416992188, 'contamination': 0.0030267960391938686}","{'roc_auc': [0.90625, 0.9215425531914894, 0.9395161290322581], 'fit_time': [0.020619630813598633, 0.02495861053466797, 0.020456790924072266], 'score_time': [0.020071029663085938, 0.020946741104125977, 0.020056724548339844]}",0.9224362274079159,0.01359553420310117,0.022011677424112957,0.00208485655397349,0.020358165105183918,0.00041622705260066506
"{'n_neighbors': 13.740389823913574, 'contamination': 0.0019188622245565057}","{'roc_auc': [0.9082446808510638, 0.9255319148936171, 0.9435483870967744], 'fit_time': [0.021944284439086914, 0.02861499786376953, 0.021942615509033203], 'score_time': [0.021117210388183594, 0.0342097282409668, 0.01894831657409668]}",0.9257749942804852,0.014413702609255672,0.024167299270629883,0.0031449979096860236,0.024758418401082356,0.006741486896391056
"{'n_neighbors': 4.32615327835083, 'contamination': 0.004133564420044422}","{'roc_auc': [0.6223404255319149, 0.9827127659574468, 0.771505376344086], 'fit_time': [0.022171735763549805, 0.023065567016601562, 0.02109074592590332], 'score_time': [0.019887685775756836, 0.019958019256591797, 0.020139455795288086]}",0.792186189277816,0.1478463796279634,0.022109349568684895,0.000807423314438773,0.01999505360921224,0.00010606819548197273
"{'n_neighbors': 21.096633911132812, 'contamination': 0.0015881650615483522}","{'roc_auc': [0.90625, 0.9182180851063829, 0.9415322580645161], 'fit_time': [0.021944522857666016, 0.02049875259399414, 0.021925687789916992], 'score_time': [0.019943714141845703, 0.01817917823791504, 0.018947124481201172]}",0.9220001143902996,0.014650079468751043,0.021456321080525715,0.0006771468303320221,0.019023338953653973,0.0007223818119819765
"{'n_neighbors': 23.049402236938477, 'contamination': 0.0016001893673092127}","{'roc_auc': [0.9102393617021276, 0.9202127659574468, 0.9448924731182796], 'fit_time': [0.061481475830078125, 0.05297493934631348, 0.03912949562072754], 'score_time': [0.028678417205810547, 0.02851080894470215, 0.027529239654541016]}",0.9251148669259514,0.014565541027464353,0.05119530359903971,0.009211517513943474,0.02823948860168457,0.0005068617875297901
"{'n_neighbors': 10.578972816467285, 'contamination': 0.0004605992289725691}","{'roc_auc': [0.8929521276595745, 0.9335106382978723, 0.9455645161290323], 'fit_time': [0.027498483657836914, 0.05729985237121582, 0.035906314849853516], 'score_time': [0.019460439682006836, 0.019794940948486328, 0.051584720611572266]}",0.9240090940288264,0.02250518996050705,0.040234883626302086,0.012545458010425496,0.030280033747355144,0.015065307487979978
