trial,roc_auc_mean,roc_auc_std,value,kernel,nu,gamma
24,0.8930093228094257,0.04752089774959358,84.54884250598322,rbf,0.004531753388722202,0.015921089542991963
25,0.8819015480820559,0.04236477779763577,83.953677028442,rbf,0.0030299424695962,0.04517086031555637
26,0.2615343552200107,0.13963066369486307,12.19036915251476,poly,0.004213706969863442,0.030310778858392014
27,0.6700387973766491,0.03453223797334157,63.55065594033075,sigmoid,0.004955252423023716,0.01929555321234207
28,0.37537415160527726,0.01695688731271074,35.84172642925665,linear,0.0036955518618286562,0.0038192617688485725
29,0.6083609776557615,0.09754187581343897,51.08191018423225,sigmoid,0.0032813157587599615,0.03964608204672846
30,0.883250400366049,0.0409267354821267,84.23236648839223,rbf,0.002692789461527621,0.06150108221856706
31,0.8930093228094257,0.04752089774959358,84.54884250598322,rbf,0.004628435952903778,0.016102561550420117
32,0.8914722031571722,0.045676750862296465,84.57954522948758,rbf,0.004554748195724118,0.024357525383908746
33,0.888791180507893,0.04315982706769902,84.56313534401939,rbf,0.004154219346017374,0.03173810878362654
34,0.884344257606955,0.05890514658508132,82.54391110218737,rbf,0.004110570884825714,0.009619936136882938
35,0.2615343552200107,0.13963066369486307,12.19036915251476,poly,0.003796333985412198,0.02965414281335037
36,0.4030852017082285,0.053422214937571225,34.96629867706573,linear,0.004175863526442599,0.02745486702840294
37,0.8830192366353998,0.04485256600719599,83.81666706282039,rbf,0.0012368475083088686,0.04764874150599699
38,0.6352808281857698,0.011508401096791238,62.37724270889786,sigmoid,0.0004816646660146416,0.020528006622894054
39,0.8845658888126288,0.04397505897759766,84.0590829835031,rbf,0.00263086101704551,0.041371353394300675
40,0.8776571913368413,0.06437473721467363,81.32824541221677,rbf,0.003296695239817557,0.007568826794446648
41,0.889008045451079,0.04181120237975045,84.71968430713287,rbf,0.0046050562800876715,0.03302669559063326
42,0.8894536909936704,0.04262236152389734,84.68313294697731,rbf,0.0046570045328881435,0.03411693914394
43,0.8861244566460765,0.04452174489459833,84.16027117514781,rbf,0.00467913406490093,0.03798862162147398
44,0.8903568977350721,0.0451024329941858,84.52544647408862,rbf,0.0045540107839498615,0.026109301929515303
45,0.8928019903912148,0.04400518688878642,84.87968035024284,rbf,0.0047214427122047814,0.023787039791884724
46,0.3815869747578739,0.04816415984581767,33.342281491205625,linear,0.0047914930547891125,0.050094312964942836
47,0.8932309540150994,0.0488821036382108,84.43488503768887,rbf,0.00438490734052271,0.014136760874493929
48,0.1495271867612293,0.13626376466297707,1.3263422098252238,poly,0.003925694391685736,0.0316446754998189
49,0.8854547967665676,0.04478837293894952,84.0666423827618,rbf,0.004972004075149376,0.040540834602336866
50,0.6111611568672309,0.11252410213936596,49.8637054727865,sigmoid,0.0019156472109667037,0.06284131120612738
51,0.8939149126820712,0.043740481780925176,85.01744309011461,rbf,0.0045678583982379315,0.0232148486854518
52,0.8937004308701288,0.04816596816828862,84.55344627018403,rbf,0.004752442731006152,0.019132071026434463
53,0.8945845725615801,0.0445762584844141,85.00083140771659,rbf,0.004327853453463713,0.022779582922197325
54,0.8930260047281324,0.044018335633946214,84.90076690941862,rbf,0.004329795963281929,0.023606518137622913
55,0.8934692671394799,0.04400531478717553,84.94639523523044,rbf,0.004027274222256945,0.02337558530856272
56,0.8945869556928239,0.04541605697595105,84.91708987168728,rbf,0.003917097277327594,0.021617400571091572
57,0.8776571913368413,0.06437473721467363,81.32824541221677,rbf,0.0036704091795030373,0.007527063266438665
58,0.8932357202775871,0.05320530246894235,84.00304178086448,rbf,0.003988064379600174,0.012258040418101506
59,0.8932547853275375,0.048967402903385006,84.42873824241526,rbf,0.003802902618021641,0.017803124057451897
60,0.3877854991230077,0.03363002482309878,35.41554742999089,linear,0.0034693554619717702,0.022445024523599894
61,0.8928019903912148,0.04400518688878642,84.87968035024284,rbf,0.004288518146294745,0.0237175717264689
62,0.8919059330435446,0.041803943003772145,85.01019900397725,rbf,0.004070802888917712,0.02687992819748548
63,0.8907906276214445,0.041802684822855506,84.89879427985889,rbf,0.004094045803653581,0.02853571233718094
64,0.8930093228094257,0.04752089774959358,84.54884250598322,rbf,0.004438741179707325,0.015635942699085303
65,0.8910194082208496,0.042357377179417934,84.86620310414317,rbf,0.0028620407030077013,0.027060304038900748
66,0.25498074429955003,0.15975892776225986,9.522181653729017,poly,0.002225718148749889,0.02018151989924459
67,0.8894632235186456,0.05511524987475301,83.43479736438925,rbf,0.0040033233099198325,0.010720827149182509
68,0.8872373789369329,0.04371039554875631,84.35269833881766,rbf,0.003251823247535798,0.03732300587307147
69,0.4084567795317624,0.06712151799737355,34.133526153438886,sigmoid,0.0036048951216360947,0.004650538785912674
